player,salary,team,position,opp,fpts
Eduardo Escobar,2800,MIN,SS,NYY,4.88
Adeiny Hechavarria,2500,MIA,SS,COL,5.06
Jose Iglesias,3300,DET,SS,KCR,5.15
Alexei Ramirez,2500,SDP,SS,WAS,5.22
Ketel Marte,4000,SEA,SS,BOS,5.41
Timothy Anderson,3700,CHW,SS,CLE,5.46
Freddy Galvis,2600,PHI,SS,ARI,5.52
Didi Gregorius,3400,NYY,SS,MIN,5.58
Marcus Semien,2900,OAK,SS,LAA,5.68
Zack Cozart,3300,CIN,SS,HOU,5.79
Addison Russell,3200,CHC,SS,PIT,5.85
Alcides Escobar,2200,KCR,SS,DET,5.85
Brad Miller,3700,TBR,SS,SFG,5.97
Jhonny Peralta,3800,STL,SS,TEX,6.07
Elvis Andrus,3600,TEX,SS,STL,6.49
Brandon Crawford,3500,SFG,SS,TBR,6.63
Asdrubal Cabrera,3700,NYM,SS,ATL,6.7
Aledmys Diaz,3600,STL,SS,TEX,7.01
Trevor Story,4400,COL,SS,MIA,7.1
Jonathan Villar,3700,MIL,SS,LAD,7.31
Francisco Lindor,4100,CLE,SS,CHW,8
Xander Bogaerts,5300,BOS,SS,SEA,8.53
Corey Seager,4000,LAD,SS,MIL,9.16
Carlos Correa,4200,HOU,SS,CIN,10.07
